,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
43,-0.8,-0.8,-1.4,0.0,-2.4,0.0,2.7129319932501077,1.1661903789690602,3.8781438859330635,0.6324555320336759,4.363484845854286,0.8944271909999159
44,-2.4,-2.2,-3.6,-6.0,0.0,0.2,3.7202150475476548,3.9698866482558417,5.817215828899594,2.0976176963403033,0.0,0.7483314773547883
45,-2.2,-1.2,-1.6,-7.4,-2.2,-2.4,4.166533331199932,2.3151673805580453,2.1540659228538015,3.6660605559646724,3.1874754901018454,3.7202150475476548
46,-7.0,-4.8,-0.2,-1.4,0.0,-3.8,4.857983120596447,7.782030583337487,1.5999999999999999,2.4979991993593593,1.0954451150103321,5.564171097297422
47,-1.2,0.8,-5.0,-1.8,-0.8,-1.8,1.9390719429665317,0.4,5.253570214625479,2.638181191654584,1.8330302779823362,4.621688003316537
48,-1.2,-0.4,-0.8,-4.0,-6.8,-4.4,3.4292856398964493,1.7435595774162693,2.227105745132009,3.8987177379235853,2.785677655436824,3.826225293941798
49,-2.0,-7.2,-7.4,-0.8,0.4,-1.0,3.3466401061363023,6.43117407632541,5.314132102234569,1.1661903789690604,1.2,2.0976176963403033
50,-2.6,-6.4,-2.0,-4.2,-30.4,-14.8,2.2449944320643644,5.817215828899595,5.019960159204453,9.410632284814874,1.2,2.4819347291981715
51,-1.0,-1.0,-8.6,-7.0,0.4,-14.2,2.6076809620810595,1.2649110640673518,3.9293765408777004,3.687817782917155,0.48989794855663565,4.1182520563948
52,-4.8,-3.4,-1.0,0.0,0.4,-14.0,7.166589146867566,3.7202150475476548,1.7888543819998317,0.8944271909999159,0.7999999999999999,2.6076809620810595
53,-0.2,-3.0,-1.8,-4.4,-7.4,-17.2,0.7483314773547883,5.0990195135927845,4.621688003316537,5.314132102234569,12.026637102698327,3.249615361854384
54,-0.8,-6.6,-1.6,-4.2,-5.0,-14.4,2.638181191654584,5.607138307550475,3.720215047547655,7.959899496852959,11.50651989091402,2.33238075793812
55,-2.6,-2.6,-9.2,-4.0,-17.8,-17.4,3.4985711369071804,2.727636339397171,2.5612496949731396,8.07465169527454,15.354478174135387,2.244994432064365
56,-1.4,-3.6,-5.2,-6.6,-30.8,-13.6,3.0066592756745814,4.586937976471886,5.418486873657627,8.912911982062877,0.7483314773547882,2.0591260281974
57,-2.0,-2.0,-8.6,-7.6,-3.6,-19.6,4.147288270665544,2.6076809620810595,9.264987857520376,8.546344247688598,8.212186067059122,5.161395160225576
58,-0.6,-2.2,-3.2,-10.2,1.0,-14.2,2.244994432064365,3.9698866482558417,4.621688003316537,12.188519188154071,0.0,3.54400902933387
59,-6.0,-4.4,-0.6,-18.8,-5.6,-17.2,5.176871642217914,3.4985711369071804,2.7276363393971716,9.94786409235671,13.199999999999998,4.66476151587624
60,-3.0,-5.0,-1.0,-5.0,-5.4,-16.4,6.54217089351845,7.4565407529228995,1.7888543819998317,9.186947262284681,12.30609605033213,4.079215610874228
61,-4.4,-1.8,-4.4,-10.6,-24.4,-20.4,6.945502141674135,2.039607805437114,4.029888335921977,11.534296684236972,12.208193969625484,1.7435595774162693
62,-0.6,-5.0,-5.4,-5.0,-12.2,-11.6,1.624807680927192,4.857983120596447,5.462600113499065,10.059821071967434,14.945233353815524,5.885575587824865
63,-10.0,-1.0,-1.4,-19.2,-5.2,-16.4,9.715966241192895,1.8973665961010275,2.5768197453450252,9.620810776644555,12.400000000000002,2.65329983228432
64,-5.4,-3.4,-4.0,-9.6,-11.8,-15.8,7.761443164772903,2.4166091947189146,4.47213595499958,11.038115781237304,14.878171930717832,2.481934729198171
65,-0.6,-2.6,-2.2,-10.2,0.6,-15.2,2.7276363393971716,3.2,3.370459909270544,11.822013364905319,0.8000000000000002,1.5999999999999999
66,0.4,-4.0,-5.2,-10.4,-16.8,-15.0,0.7999999999999999,3.5777087639996634,5.2687759489277965,11.001818031580052,10.870142593360955,3.7416573867739413
67,-4.0,-1.8,-6.8,-10.0,-6.6,-15.4,4.049691346263317,2.1354156504062622,6.368673331236263,9.465727652959385,13.245376551838758,0.7999999999999999
